Rating,Title,Original_Review,Language,Translated_Review,Cleaned_Review
4,Good for the Job but AI doesn't give u much utility,"It's good for the job,
but kindly listen, AI and all these buzz words are useless after a couple of days, the Only AI it has is pattern learning and u can select from a mobile. It might complicate for the elder people.",en,"It's good for the job,
but kindly listen, AI and all these buzz words are useless after a couple of days, the Only AI it has is pattern learning and u can select from a mobile. It might complicate for the elder people.",good job kindly listen ai buzz word useless couple day ai pattern learning u select mobile might complicate elder people
5,Fabulous!,"Must Buy Value For Money
Very Good Performance",en,"Must Buy Value For Money
Very Good Performance",must buy value money good performance
5,Wonderful,"It’s an excellent machine…. Which do every thing on its own… hassle free
Less power consumption with
Huge water save when compared to top load
More over u can trust the brand lik Samsung
And installation was done on next day
Aramsye it wil work for next 8 years
Peace ✌️ thank u Samsung",en,"It’s an excellent machine…. Which do every thing on its own… hassle free
Less power consumption with
Huge water save when compared to top load
More over u can trust the brand lik Samsung
And installation was done on next day
Aramsye it wil work for next 8 years
Peace ✌️ thank u Samsung",excellent machine every thing hassle free less power consumption huge water save compared top load u trust brand lik samsung installation done next day aramsye wil work next 8 year peace thank u samsung
4,Good choice,Nice product,ro,Nice product,nice product
3,Fair,"Rat mash is too poor quality, I don't know they're providing metal cover in bottom square of machine. I think it's bad strategy and cheating with customers, on second day after installation rats cuts my machines tub 😞",en,"Rat mash is too poor quality, I don't know they're providing metal cover in bottom square of machine. I think it's bad strategy and cheating with customers, on second day after installation rats cuts my machines tub 😞",rat mash poor quality dont know theyre providing metal cover bottom square machine think bad strategy cheating customer second day installation rat cut machine tub
3,Decent product,"After completion of program door lock not open . For this we have to switch off and switch ON the machine.
So if while running sudden light off then all clothes will stuck till light came.
Please update if any setting regarding this.",en,"After completion of program door lock not open . For this we have to switch off and switch ON the machine.
So if while running sudden light off then all clothes will stuck till light came.
Please update if any setting regarding this.",completion program door lock open switch switch machine running sudden light clothes stuck till light came please update setting regarding
5,Mind-blowing purchase,"Nice product
Thank you Samsung",en,"Nice product
Thank you Samsung",nice product thank samsung
4,Delightful,"I bought it during BBD for 28K.

There are more than 10 modes available, one can also download additional modes from the smart things app and set the washing machine to use the downloaded mode, so some nice features are available, mostly we will use 2 to 3 modes at maximum.

The clothes after wash comes out almost 90% dried and kind of satisfied with wash quality, the eco bubble mode is better for clothes that are too dirty or soiled, obviously can't match the wash quality of hand wash but I can say it matches 80% of hand wash quality.

I was not happy with the delivery guys, they were not friendly and were reluctant to deliver the product to the second floor, they were trying to keep the product on the ground floor and get away and needed a lot of convincing.",en,"I bought it during BBD for 28K.

There are more than 10 modes available, one can also download additional modes from the smart things app and set the washing machine to use the downloaded mode, so some nice features are available, mostly we will use 2 to 3 modes at maximum.

The clothes after wash comes out almost 90% dried and kind of satisfied with wash quality, the eco bubble mode is better for clothes that are too dirty or soiled, obviously can't match the wash quality of hand wash but I can say it matches 80% of hand wash quality.

I was not happy with the delivery guys, they were not friendly and were reluctant to deliver the product to the second floor, they were trying to keep the product on the ground floor and get away and needed a lot of convincing.",bought bbd 28k 10 mode available one also download additional mode smart thing app set washing machine use downloaded mode nice feature available mostly use 2 3 mode maximum clothes wash come almost 90 dried kind satisfied wash quality eco bubble mode better clothes dirty soiled obviously cant match wash quality hand wash say match 80 hand wash quality happy delivery guy friendly reluctant deliver product second floor trying keep product ground floor get away needed lot convincing
5,Wonderful,"I got this for 28 K, i saw many brands but finally i decided to buy samsung because the samsung drum size is little bigger than other brands and i got a really good one with good price
This machine wash cloths very nicely with less sound
I suggest please go for this and buy without any doubt",en,"I got this for 28 K, i saw many brands but finally i decided to buy samsung because the samsung drum size is little bigger than other brands and i got a really good one with good price
This machine wash cloths very nicely with less sound
I suggest please go for this and buy without any doubt",got 28 k saw many brand finally decided buy samsung samsung drum size little bigger brand got really good one good price machine wash cloth nicely less sound suggest please go buy without doubt
5,Perfect product!,"Excellent,never expected.And its looking very glamorous.And it's the new version with new MFG On August 2023.",en,"Excellent,never expected.And its looking very glamorous.And it's the new version with new MFG On August 2023.",excellentnever expectedand looking glamorousand new version new mfg august 2023
5,Awesome,This is very good washing machine and value for money and it makes very less noice and its drum is very big and consumes very less water and electricity so dont waste your time for searching washing go for it,en,This is very good washing machine and value for money and it makes very less noice and its drum is very big and consumes very less water and electricity so dont waste your time for searching washing go for it,good washing machine value money make less noice drum big consumes less water electricity dont waste time searching washing go
5,Just wow!,"First time using a Samsung Home appliance
The experience is very good .
Received a call from Samsung service centre within 2 hrs of delivery . The technician assigned was very skilled and understanding . Thumbs up to Samsung for the fast installation and demo .
Coming to the washing machine :
1. Very silent .
2. Uses very little water .
3. Best for people who don't want complicated modes , Very simple usable modes .
4. Soak mode is very good ( recommended to use always) .
First time ordering a Big Home appliance from Flipkart. The delivery guys were very good ...

Suggestion : For users upgrading from an old washing machine to a new one ... Please take help from a plumber by installing a washing machine tap or a angular valve before the installation of the washing machine .",en,"First time using a Samsung Home appliance
The experience is very good .
Received a call from Samsung service centre within 2 hrs of delivery . The technician assigned was very skilled and understanding . Thumbs up to Samsung for the fast installation and demo .
Coming to the washing machine :
1. Very silent .
2. Uses very little water .
3. Best for people who don't want complicated modes , Very simple usable modes .
4. Soak mode is very good ( recommended to use always) .
First time ordering a Big Home appliance from Flipkart. The delivery guys were very good ...

Suggestion : For users upgrading from an old washing machine to a new one ... Please take help from a plumber by installing a washing machine tap or a angular valve before the installation of the washing machine .",first time using samsung home appliance experience good received call samsung service centre within 2 hr delivery technician assigned skilled understanding thumb samsung fast installation demo coming washing machine 1 silent 2 us little water 3 best people dont want complicated mode simple usable mode 4 soak mode good recommended use always first time ordering big home appliance flipkart delivery guy good suggestion user upgrading old washing machine new one please take help plumber installing washing machine tap angular valve installation washing machine
3,Does the job,Touch panels are not visible.. also one touch option is not working properly,en,Touch panels are not visible.. also one touch option is not working properly,touch panel visible also one touch option working properly
5,Classy product,"After lot of confusion which brand to bought , i choosen samsung 8kg machine this model. First of all , look wise good and low noise and power rating as 5 star are advantage. Further it has user friendly. if you wants to buy 8kg machine with in 30k you could choose this one. Budget is not a pbm you can choose bosch ifb.Because Bosch and ifb brands are the best for washing machine.",en,"After lot of confusion which brand to bought , i choosen samsung 8kg machine this model. First of all , look wise good and low noise and power rating as 5 star are advantage. Further it has user friendly. if you wants to buy 8kg machine with in 30k you could choose this one. Budget is not a pbm you can choose bosch ifb.Because Bosch and ifb brands are the best for washing machine.",lot confusion brand bought choosen samsung 8kg machine model first look wise good low noise power rating 5 star advantage user friendly want buy 8kg machine 30k could choose one budget pbm choose bosch ifbbecause bosch ifb brand best washing machine
5,Best in the market!,Nice person on installation. Appreciated A+++++,en,Nice person on installation. Appreciated A+++++,nice person installation appreciated
4,Good quality product,"Everything is good about the machine, but installation and demo is a big zero, if bought from Flipkart.
I have raised a concern with Flipkart regarding this, but no action was taken.
I would request Flipkart to have a better installation support team.",en,"Everything is good about the machine, but installation and demo is a big zero, if bought from Flipkart.
I have raised a concern with Flipkart regarding this, but no action was taken.
I would request Flipkart to have a better installation support team.",everything good machine installation demo big zero bought flipkart raised concern flipkart regarding action taken would request flipkart better installation support team
5,Classy product,Nice make,hr,Nice make,nice make
4,Nice product,"This is Completely My After 4 Months Of Using Review .
1) The First Thing Is The Product Quality is Very Good And Heavy Weight
2) The Second Thing Is The Product Washing Quality Is Fantastic And Fine I Personally Love That Washing Quality
3) The Third Thing Is The Product Noise Levels Are Slightly Low And Minimal
4) The Fourth Thing Is Maintenance This Product Is Generally Having No Maintenance But Yearly 3 Times Drum Cleaning Cause Drum Grem Free And Smell Free
5) And The Last Thing Is My Rating On This Product 4⭐ OUT OF 5 STAR THANKS YOU FLIPKART FOR GIVING BEST QUALITY WASHING MACHINE 👍🏿",en,"This is Completely My After 4 Months Of Using Review .
1) The First Thing Is The Product Quality is Very Good And Heavy Weight
2) The Second Thing Is The Product Washing Quality Is Fantastic And Fine I Personally Love That Washing Quality
3) The Third Thing Is The Product Noise Levels Are Slightly Low And Minimal
4) The Fourth Thing Is Maintenance This Product Is Generally Having No Maintenance But Yearly 3 Times Drum Cleaning Cause Drum Grem Free And Smell Free
5) And The Last Thing Is My Rating On This Product 4⭐ OUT OF 5 STAR THANKS YOU FLIPKART FOR GIVING BEST QUALITY WASHING MACHINE 👍🏿",completely 4 month using review 1 first thing product quality good heavy weight 2 second thing product washing quality fantastic fine personally love washing quality 3 third thing product noise level slightly low minimal 4 fourth thing maintenance product generally maintenance yearly 3 time drum cleaning cause drum grem free smell free 5 last thing rating product 4 5 star thanks flipkart giving best quality washing machine
4,Delightful,"I am writing this review after using 2 months of Samsung 7kg front load machine
1.washing quality superb.
2.no any sound or vibration during washing cycle.
3. Smooth and silent operation.
4.suitable for couple or couple with 2 children.",en,"I am writing this review after using 2 months of Samsung 7kg front load machine
1.washing quality superb.
2.no any sound or vibration during washing cycle.
3. Smooth and silent operation.
4.suitable for couple or couple with 2 children.",writing review using 2 month samsung 7kg front load machine 1washing quality superb 2no sound vibration washing cycle 3 smooth silent operation 4suitable couple couple 2 child
5,Brilliant Product,"Amazing product form Samsung, first I was looking in the local stores they all overpriced up to 32k, finally I got this product in Flipkart for 24K with so many offers and with best exchange rate.

Thank you flipkart and team.",en,"Amazing product form Samsung, first I was looking in the local stores they all overpriced up to 32k, finally I got this product in Flipkart for 24K with so many offers and with best exchange rate.

Thank you flipkart and team.",amazing product form samsung first looking local store overpriced 32k finally got product flipkart 24k many offer best exchange rate thank flipkart team
5,Best in the market!,Absolutely love this product.. Thank you Samsung.. Best Product at this price.. 👌👌,en,Absolutely love this product.. Thank you Samsung.. Best Product at this price.. 👌👌,absolutely love product thank samsung best product price
5,Highly recommended,From the delivery to installation everything is excellent. Quality of washing machine is top-notch.,en,From the delivery to installation everything is excellent. Quality of washing machine is top-notch.,delivery installation everything excellent quality washing machine topnotch
5,Excellent,Easy to use simple and effective,en,Easy to use simple and effective,easy use simple effective
5,Fabulous!,"After one month of using a very good washing machine not facing any issue,
Recommended to my friends and relatives.",en,"After one month of using a very good washing machine not facing any issue,
Recommended to my friends and relatives.",one month using good washing machine facing issue recommended friend relative
5,Mind-blowing purchase,"Nice Product, Value For Money..",en,"Nice Product, Value For Money..",nice product value money
5,Fabulous!,Excellent product. Go for it.,en,Excellent product. Go for it.,excellent product go
5,Highly recommended,"Nice product with IoT. You can control the machine with mobile. Elegant design, and good performance.

Delivery was quick and installation was also done by Flipkart.",en,"Nice product with IoT. You can control the machine with mobile. Elegant design, and good performance.

Delivery was quick and installation was also done by Flipkart.",nice product iot control machine mobile elegant design good performance delivery quick installation also done flipkart
5,Must buy!,"Superb,one month experience, samsung eco bubbles 8kg go for it,less noise, washing quality is terrific,full storage 60ml -90ml detergent liquid is enough,Inox grey colour is nice, almost 80% drying full complete circle, clothes are without wrinkles than hand wash.",en,"Superb,one month experience, samsung eco bubbles 8kg go for it,less noise, washing quality is terrific,full storage 60ml -90ml detergent liquid is enough,Inox grey colour is nice, almost 80% drying full complete circle, clothes are without wrinkles than hand wash.",superbone month experience samsung eco bubble 8kg go itless noise washing quality terrificfull storage 60ml 90ml detergent liquid enoughinox grey colour nice almost 80 drying full complete circle clothes without wrinkle hand wash
4,Delightful,"It is a washing expert and full of advanced technologies.its ecobubble technology is wonderful,uses less amount of detergent but creates bubbles to make the cloth new like clean.you can manually select the temperature,spin and rinsing time and you can also select the washing mode by using the smart things app and it's blackish grey look gives it a dashing look.you can't help looking at it.the only cone is that it cannot take much load to be more specific it cannot arrange the clothes properly before starting it's final spin and as a result of it ,it shakes.as it is a direct drive machine it makes little noise while washing but during final spin it starts shaking.",en,"It is a washing expert and full of advanced technologies.its ecobubble technology is wonderful,uses less amount of detergent but creates bubbles to make the cloth new like clean.you can manually select the temperature,spin and rinsing time and you can also select the washing mode by using the smart things app and it's blackish grey look gives it a dashing look.you can't help looking at it.the only cone is that it cannot take much load to be more specific it cannot arrange the clothes properly before starting it's final spin and as a result of it ,it shakes.as it is a direct drive machine it makes little noise while washing but during final spin it starts shaking.",washing expert full advanced technologiesits ecobubble technology wonderfuluses less amount detergent creates bubble make cloth new like cleanyou manually select temperaturespin rinsing time also select washing mode using smart thing app blackish grey look give dashing lookyou cant help looking itthe cone take much load specific arrange clothes properly starting final spin result shakesas direct drive machine make little noise washing final spin start shaking
4,Pretty good,"I strongly recommend you all to not to buy wifi model.
Through wifi you can only control the program, nothing else.
You need to go to switch on the machine, start of machine after selecting program is also manual.

My expectations as a wifi model is- that i just need to put clothes in and on the main switch rest all like play the machine , selection of programme, on off the machine from machine not from switch board.

Wifi is waste just waste in this. Just go for the without wifi model and save extra money.",en,"I strongly recommend you all to not to buy wifi model.
Through wifi you can only control the program, nothing else.
You need to go to switch on the machine, start of machine after selecting program is also manual.

My expectations as a wifi model is- that i just need to put clothes in and on the main switch rest all like play the machine , selection of programme, on off the machine from machine not from switch board.

Wifi is waste just waste in this. Just go for the without wifi model and save extra money.",strongly recommend buy wifi model wifi control program nothing else need go switch machine start machine selecting program also manual expectation wifi model need put clothes main switch rest like play machine selection programme machine machine switch board wifi waste waste go without wifi model save extra money
4,Really Nice,Best product in this range,en,Best product in this range,best product range
4,Good choice,"Good product, rat mesh quality is very bad",en,"Good product, rat mesh quality is very bad",good product rat mesh quality bad
3,Decent product,"The wifi connectivity is useless, it doesn't start through mobile",en,"The wifi connectivity is useless, it doesn't start through mobile",wifi connectivity useless doesnt start mobile
3,Good,While start of rinse there will be high vibration for 10 seconds.,en,While start of rinse there will be high vibration for 10 seconds.,start rinse high vibration 10 second
5,Simply awesome,"This machine is super powerful, front load washers are way superior than the top load washers.

Its weight is around 70 kg whereas the top load weighs around 31 kg. It's a freaking Jet when it comes to performance, choose front load any day rather than the top load.

Also I have washed a double bed heavy blanket in this 12 kg one and it was a cake walk for this machine.",en,"This machine is super powerful, front load washers are way superior than the top load washers.

Its weight is around 70 kg whereas the top load weighs around 31 kg. It's a freaking Jet when it comes to performance, choose front load any day rather than the top load.

Also I have washed a double bed heavy blanket in this 12 kg one and it was a cake walk for this machine.",machine super powerful front load washer way superior top load washer weight around 70 kg whereas top load weighs around 31 kg freaking jet come performance choose front load day rather top load also washed double bed heavy blanket 12 kg one cake walk machine
5,Terrific,"You can go with your eye shut.
Good performance till date have used most functions and does the job well.
AI does good job by suggesting our preferred wash cycles after a week of usage.",en,"You can go with your eye shut.
Good performance till date have used most functions and does the job well.
AI does good job by suggesting our preferred wash cycles after a week of usage.",go eye shut good performance till date used function job well ai good job suggesting preferred wash cycle week usage
